################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3154993108156602E-01 a         1     0     1     1     1
 -5.4970584023366931E-01 a         2     0     1     1     2
 -2.8419857498416035E-01 a         3     0     1     1     3
  2.2206054626893626E-01 a         4     0     1     1     4
 -2.1646586852731489E-01 a         5     0     1     1     5
  3.4385224726617103E-01 a         6     0     1     1     6
 -1.9667169350362171E-01 a         7     0     1     1     7
  2.2134481578106774E-01 a         8     0     1     1     8
  2.5875092016054541E-01 a         9     0     1     1     9
  2.2830431740179113E-01 a        10     0     1     1    10
 -5.3241776279418410E-02 a        11     0     1     1    11
 -1.7471169866642350E-01 a        12     0     1     1    12
 -1.0309672927428036E-01 a        13     0     1     1    13
  2.2924397045958286E-01 a        14     0     1     1    14
  5.9135223497499445E-01 a        15     0     1     1    15
  4.2948773851556160E-01 a        16     0     1     1    16
 -1.9571843024160093E-01 a        17     0     1     1    17
 -8.1949572207652560E-02 a        18     0     1     1    18
  2.2576644889505054E-01 a        19     0     1     1    19
  2.3919980903324781E-01 a        20     0     1     1    20
 -8.9915351763241266E-02 a        21     0     1     1    21
 -1.1339877059560572E+00 a        22     0     1     1    22
  1.0859318926657631E-01 a        23     0     1     1    23
 -4.8813216351996891E-01 a        24     0     1     1    24
  7.7955099891827540E-01 a        25     0     2     1     1
 -3.7870960625090988E-01 a        26     0     2     1     2
  1.5903975797426029E-02 a        27     0     2     1     3
 -5.4382950007264907E-01 a        28     0     2     1     4
  3.5174517751618317E-01 a        29     0     2     1     5
  1.3868636484872637E-01 a        30     0     2     1     6
 -8.1394864103448805E-01 a        31     0     2     1     7
  5.7267630759027144E-01 a        32     0     2     1     8
  1.2149724838643369E-01 a        33     0     2     1     9
  2.0873163888384977E-01 a        34     0     2     1    10
 -9.0792958761445020E-01 a        35     0     2     1    11
 -8.5481533373463495E-02 a        36     0     2     1    12
 -6.5585491031276089E-02 a        37     0     2     1    13
  3.9433379676748143E-01 a        38     0     2     1    14
  4.3113879070511790E-01 a        39     0     2     1    15
  1.6583100779076840E-01 a        40     0     2     1    16
 -5.7738620711843591E-01 a        41     0     2     1    17
 -6.4881779461289035E-01 a        42     0     2     1    18
 -1.3012157585737341E-01 a        43     0     2     1    19
  1.1911036614012641E-01 a        44     0     2     1    20
  6.8730720243810134E-02 a        45     0     2     1    21
 -1.1594640457247181E+00 a        46     0     2     1    22
 -4.0032677467213484E-01 a        47     0     2     1    23
 -2.9113492508285355E-01 a        48     0     2     1    24
 -1.9449801275786837E-02 a        49     0     3     1     1
  8.1281755548523821E-02 a        50     0     3     1     2
  5.9484272991828631E-02 a        51     0     3     1     3
 -1.1022934086377360E-01 a        52     0     3     1     4
  4.6291011841091710E-02 a        53     0     3     1     5
 -3.5575617428471831E-02 a        54     0     3     1     6
  1.8618693042277590E-01 a        55     0     3     1     7
  9.8906349086616288E-02 a        56     0     3     1     8
 -5.6072037652311646E-01 a        57     0     3     1     9
 -2.5599804676518090E-01 a        58     0     3     1    10
 -1.3315817246283740E-01 a        59     0     3     1    11
  3.3837402801581852E-02 a        60     0     3     1    12
 -1.5311136110850046E-01 a        61     0     3     1    13
 -1.4429446924235009E-01 a        62     0     3     1    14
  6.5821353682692665E-02 a        63     0     3     1    15
  4.6989411285983974E-02 a        64     0     3     1    16
 -5.0394831634394691E-02 a        65     0     3     1    17
  1.3365111109923089E-01 a        66     0     3     1    18
  3.9576663399850789E-02 a        67     0     3     1    19
 -1.9181544488863844E-02 a        68     0     3     1    20
 -1.1155386242719043E-02 a        69     0     3     1    21
 -3.9099838202201281E-02 a        70     0     3     1    22
 -8.4245032511003765E-02 a        71     0     3     1    23
  8.4603530262127288E-02 a        72     0     3     1    24
  2.2100962297285540E-01 a        73     0     4     1     1
  2.9549793054742413E-01 a        74     0     4     1     2
 -2.7435482792353605E-01 a        75     0     4     1     3
  4.0417769671049120E-01 a        76     0     4     1     4
  4.7744575234040154E-01 a        77     0     4     1     5
 -1.3349447649455010E-01 a        78     0     4     1     6
  4.5369789625432852E-02 a        79     0     4     1     7
 -6.3780752803934970E-01 a        80     0     4     1     8
  1.9919248667997286E-01 a        81     0     4     1     9
 -1.2796134982797702E-01 a        82     0     4     1    10
 -6.2101364826054106E-01 a        83     0     4     1    11
  7.2525987225029731E-01 a        84     0     4     1    12
 -4.1917746522742916E-01 a        85     0     4     1    13
  5.8598570679652373E-01 a        86     0     4     1    14
 -3.1659844404193521E-01 a        87     0     4     1    15
 -2.2104101076966770E-01 a        88     0     4     1    16
 -3.1481910491214499E-01 a        89     0     4     1    17
 -5.9748343584815844E-01 a        90     0     4     1    18
 -9.1218224951741297E-02 a        91     0     4     1    19
  3.2808051797651130E-02 a        92     0     4     1    20
  2.8886840197941005E-01 a        93     0     4     1    21
  1.5807184449610012E-01 a        94     0     4     1    22
  5.7087791393135662E-02 a        95     0     4     1    23
  4.1352525993019229E-01 a        96     0     4     1    24
 -3.4496720456882518E-01 a        97     0     5     1     1
 -2.0369714019813528E-01 a        98     0     5     1     2
 -4.7560851900116267E-02 a        99     0     5     1     3
  2.8027483874396644E-02 a       100     0     5     1     4
  3.5739397795412919E-01 a       101     0     5     1     5
 -9.2990228425899094E-04 a       102     0     5     1     6
 -6.6415513625683056E-02 a       103     0     5     1     7
  4.2306281920553906E-01 a       104     0     5     1     8
  7.9858412381455489E-03 a       105     0     5     1     9
  1.5320011235743067E-01 a       106     0     5     1    10
  5.4443776597484603E-02 a       107     0     5     1    11
  1.8573231884578871E-02 a       108     0     5     1    12
 -1.8197022833631177E-01 a       109     0     5     1    13
  2.3389310605604362E-02 a       110     0     5     1    14
 -2.9325332241542934E-02 a       111     0     5     1    15
 -2.0393202649029266E-01 a       112     0     5     1    16
 -8.9511391145599598E-02 a       113     0     5     1    17
  2.0045745802091117E-01 a       114     0     5     1    18
  3.9464330798406035E-02 a       115     0     5     1    19
 -2.3818304937244908E-01 a       116     0     5     1    20
  6.3244066897806955E-02 a       117     0     5     1    21
 -3.1226950010985442E-02 a       118     0     5     1    22
 -3.6388217033746811E-02 a       119     0     5     1    23
 -3.3067627368491898E-01 a       120     0     5     1    24
 -1.5411140754736169E-01 a       121     0     6     1     1
  2.8553767564100790E-01 a       122     0     6     1     2
  1.2499863860071223E-01 a       123     0     6     1     3
  2.7102531431814758E-01 a       124     0     6     1     4
 -2.2616137379691958E-01 a       125     0     6     1     5
 -8.7121633344794919E-02 a       126     0     6     1     6
 -1.6436401150321697E-01 a       127     0     6     1     7
  2.9601492494942960E-01 a       128     0     6     1     8
  2.9827086393046404E-01 a       129     0     6     1     9
  2.5116919238673546E-01 a       130     0     6     1    10
 -2.0972297106857999E-02 a       131     0     6     1    11
 -4.1548427202965053E-02 a       132     0     6     1    12
 -7.3579524408700248E-02 a       133     0     6     1    13
 -1.2558824827751499E-02 a       134     0     6     1    14
 -1.9233873005443540E-02 a       135     0     6     1    15
  6.0053375595160989E-02 a       136     0     6     1    16
 -1.4668924999386296E-01 a       137     0     6     1    17
  1.1110779083935116E-01 a       138     0     6     1    18
 -6.7674960617392754E-02 a       139     0     6     1    19
  4.8289130299870614E-02 a       140     0     6     1    20
 -1.0369663344365868E-01 a       141     0     6     1    21
  5.4801959621057293E-02 a       142     0     6     1    22
 -1.0148943251579055E-01 a       143     0     6     1    23
  1.4884871212373593E-01 a       144     0     6     1    24
 -2.9604898573746885E-01 a       145     0     7     1     1
