################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         23   3.4506819857388247E+00   4.8792399715701631E+00   4.1192395330199938E+00   1.7289469211264105E-01
         1         24   3.7675988806486906E-02   6.0093539510466532E-01   1.3974369863333355E-01   3.6997469464439811E-02
         1         25   6.7050037402376916E-01   1.1198768606969849E+00   8.9626642540089907E-01   5.0352306809915565E-02
         1         26   6.6290910620341048E-01   1.1378622579344186E+00   8.7116053505405000E-01   5.5340957809696563E-02
         1         27   1.2308799187477004E+00   2.1786597450719203E+00   1.6938656355874111E+00   9.2808467072085857E-02
         1         28   1.1490124713035097E+00   2.1283135788401149E+00   1.6305502637538047E+00   1.1062686122640245E-01
         1         29   1.3863892091658023E+00   2.7267671603084240E+00   1.9872779781191248E+00   1.5609905701103749E-01
         1         30   1.0664683633476573E+00   2.7169837899585074E+00   2.0125475003707924E+00   2.2744577776059263E-01
         1         31   1.0796915082740542E-05   1.0279697416075416E-01   1.2536111973787294E-03   1.9974342830485284E-03
         1         32   9.3652390934554863E-01   2.7139368041733269E+00   1.7581107015455042E+00   2.2990785663015459E-01
         1         33   8.7269147132764047E-01   2.8229393376294261E+00   2.0200472317272076E+00   2.0045536916456894E-01
         1         34   2.8347966243263758E-06   1.1872589065269135E-02   2.2565330361417533E-04   2.0933102028872786E-04
         1         35   2.8862635059807216E-04   2.4855144510857262E-02   2.0578613721239669E-03   8.9858586165429547E-04
         1         36   2.9691866199326058E-04   1.1156612057233797E-02   1.3724498699260387E-03   3.2958135038151055E-04
         1         37   4.4710444661468388E-07   5.6817095290641545E-03   6.7302576259130393E-05   7.6375870215463829E-05
         1         38   6.9326748000606502E-05   1.5022281273565469E-02   8.7410388977496149E-04   5.4109475904188587E-04
         1         39   3.2497689432702873E-05   7.1445187755364240E-03   2.1869834575290824E-04   1.0446755768752606E-04
         1         40   6.5894847341721655E-06   1.4378234705259365E-02   4.9662964273899783E-04   3.8229662277375120E-04
         1         41   1.4614496587307597E-03   3.4238216650213066E-02   6.2195604917929942E-03   1.6138825805257979E-03
         1         42   3.2971678869329743E-03   2.2338192555335919E-02   1.0923038721086204E-02   1.6183372420827398E-03
         1         43   1.0138876574680864E-08   2.2076288447558396E-03   9.0746593523996272E-06   1.7129139649193022E-05
         1         44   5.5339320622502298E-06   9.1033518706979035E-03   3.4317736193615673E-04   3.2416025878221841E-04
         1         45   7.2916325849321644E-07   5.4618681627273289E-03   4.3391787708163384E-05   5.7888119317458778E-05
         1         46   4.1693278744285319E-06   8.7500307634674306E-03   2.9837135945540172E-04   2.3190771252633817E-04
         1         47   1.1611650931161875E-03   2.4497100639862886E-02   4.7976671798248809E-03   1.2214443946673354E-03
         1         48   2.7808304419284732E-03   1.7031658631474593E-02   9.0206678251452607E-03   1.2579048130054616E-03
         1         49   1.0869154641622213E-04   1.5717048332751886E-02   9.7411042580552488E-04   4.7951896054680698E-04
         1         50   1.3946818227499944E-04   7.4781732673718463E-03   8.1790470350817830E-04   2.1068078754283963E-04
         1         51   1.7367883416295951E-06   1.1922467101971332E-02   2.4465081058718441E-04   2.3866678964486139E-04
         1         52   1.0074410819037564E-07   3.2936827124487112E-03   2.4887714778534261E-05   3.5123326094810804E-05
