################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4094076183823661E-01 a       116     0     5     1    20
 -2.8358863434385462E-01 a       117     0     5     1    21
 -2.9211769530917020E-01 a       118     0     5     1    22
  2.4091805906324565E-01 a       119     0     5     1    23
  1.2212639620060756E-01 a       120     0     5     1    24
  4.1289708395252323E-01 a       121     0     6     1     1
 -9.4355193066162912E-01 a       122     0     6     1     2
 -7.4667176043087791E-01 a       123     0     6     1     3
 -6.2741589282713572E-01 a       124     0     6     1     4
  3.0826088464824503E-01 a       125     0     6     1     5
 -1.8690670409953994E-01 a       126     0     6     1     6
 -2.3614153331711316E-01 a       127     0     6     1     7
  6.2635087086924635E-01 a       128     0     6     1     8
 -6.8228667950564503E-01 a       129     0     6     1     9
  1.1213541542593104E-01 a       130     0     6     1    10
  6.9231319456430052E-01 a       131     0     6     1    11
  1.3073438778461973E-02 a       132     0     6     1    12
 -1.3215504813273132E-01 a       133     0     6     1    13
  1.9497751887408823E-01 a       134     0     6     1    14
  6.4749830664669106E-02 a       135     0     6     1    15
  2.8711441355960299E-01 a       136     0     6     1    16
 -5.4462350997272202E-01 a       137     0     6     1    17
 -5.4480329729739296E-01 a       138     0     6     1    18
 -4.4978000408502006E-01 a       139     0     6     1    19
 -1.2576139536145506E-01 a       140     0     6     1    20
 -4.3692094950487986E-01 a       141     0     6     1    21
  4.8524421225454667E-01 a       142     0     6     1    22
  8.1351520041579550E-01 a       143     0     6     1    23
  2.9400322766682627E-02 a       144     0     6     1    24
 -1.0247981047524752E+00 a       145     0     7     1     1
  1.7411910015587223E-01 a       146     0     7     1     2
  1.1604643625502833E+00 a       147     0     7     1     3
 -9.5178436366452035E-01 a       148     0     7     1     4
  1.5228391144232606E-01 a       149     0     7     1     5
 -1.1691401643545810E-01 a       150     0     7     1     6
 -3.0123169656287030E-01 a       151     0     7     1     7
 -5.8797947798488248E-01 a       152     0     7     1     8
  1.9132976129375351E-01 a       153     0     7     1     9
  3.5181679891114359E-01 a       154     0     7     1    10
 -9.9140683439015320E-01 a       155     0     7     1    11
 -8.8763089690328756E-01 a       156     0     7     1    12
 -1.6280126600581435E-01 a       157     0     7     1    13
  1.2528581278108959E+00 a       158     0     7     1    14
 -4.6829102758569774E-02 a       159     0     7     1    15
  1.0600224414810020E+00 a       160     0     7     1    16
  1.8650457035118345E-01 a       161     0     7     1    17
  9.5210386105118727E-01 a       162     0     7     1    18
  5.0454644430639672E-01 a       163     0     7     1    19
  8.5697117971063963E-01 a       164     0     7     1    20
 -8.8665403944652765E-01 a       165     0     7     1    21
 -6.4872242022065896E-01 a       166     0     7     1    22
 -1.7373793625777439E-01 a       167     0     7     1    23
 -9.2889194819200183E-01 a       168     0     7     1    24
 -3.3780618435638043E-01 a       169     0     8     1     1
  2.7328038664768843E-02 a       170     0     8     1     2
  4.2308654103460158E-01 a       171     0     8     1     3
 -9.7028455283055204E-02 a       172     0     8     1     4
 -3.5781482497169453E-01 a       173     0     8     1     5
 -2.3105750886182636E-02 a       174     0     8     1     6
 -1.7639149272071725E-01 a       175     0     8     1     7
 -3.4200515206448473E-01 a       176     0     8     1     8
  4.7828363449560804E-02 a       177     0     8     1     9
  5.7935453495739886E-01 a       178     0     8     1    10
 -8.2080030256330971E-01 a       179     0     8     1    11
  8.9659040727767647E-02 a       180     0     8     1    12
 -8.4457912502854549E-01 a       181     0     8     1    13
  1.9209508711979043E-01 a       182     0     8     1    14
 -3.8893352131737735E-01 a       183     0     8     1    15
  4.3774687930378542E-01 a       184     0     8     1    16
 -5.4746856714503989E-01 a       185     0     8     1    17
 -1.2189855419455584E-02 a       186     0     8     1    18
 -6.9651832156041416E-01 a       187     0     8     1    19
 -1.4574586021349251E-01 a       188     0     8     1    20
 -3.0522639682259212E-02 a       189     0     8     1    21
 -3.4829569730023435E-01 a       190     0     8     1    22
  5.1358846157582139E-01 a       191     0     8     1    23
  4.4234005153355282E-01 a       192     0     8     1    24
  5.6982023509905326E-02 a       193     0     9     1     1
 -8.4624592163163959E-01 a       194     0     9     1     2
 -1.2254818881472530E-01 a       195     0     9     1     3
  2.4486229736596515E-01 a       196     0     9     1     4
 -2.8827597176749847E-02 a       197     0     9     1     5
  1.0351969155018039E+00 a       198     0     9     1     6
  7.6509323361055592E-01 a       199     0     9     1     7
  4.6807857298168658E-02 a       200     0     9     1     8
 -3.3929519289567306E-01 a       201     0     9     1     9
  9.5329331417715657E-01 a       202     0     9     1    10
 -1.1440060597258554E-01 a       203     0     9     1    11
  3.3783402092465953E-01 a       204     0     9     1    12
  7.5079179146232300E-02 a       205     0     9     1    13
  8.2475783231808403E-02 a       206     0     9     1    14
  7.3083393707723976E-01 a       207     0     9     1    15
  7.5742287273136610E-01 a       208     0     9     1    16
 -2.3955598439732784E-01 a       209     0     9     1    17
  3.9511093195215391E-01 a       210     0     9     1    18
  2.1175313767085530E-01 a       211     0     9     1    19
  5.4555450334271127E-01 a       212     0     9     1    20
  1.4251227384414993E-02 a       213     0     9     1    21
 -2.7974444277897387E-01 a       214     0     9     1    22
 -9.1326516034877359E-01 a       215     0     9     1    23
  3.1393667952716559E-02 a       216     0     9     1    24
  5.6557779216437593E-02 a       217     0    10     1     1
  6.2382127321616399E-01 a       218     0    10     1     2
  7.0150905518811391E-01 a       219     0    10     1     3
  2.4963207512100555E-01 a       220     0    10     1     4
 -5.9779998557614311E-01 a       221     0    10     1     5
 -2.0263760889458433E-02 a       222     0    10     1     6
  3.3546592640802120E-02 a       223     0    10     1     7
 -3.6843497003498260E-01 a       224     0    10     1     8
  1.1218871849291343E+00 a       225     0    10     1     9
  4.3445113489537246E-01 a       226     0    10     1    10
  2.2959508308361098E-01 a       227     0    10     1    11
  3.8898884654198912E-01 a       228     0    10     1    12
  4.2525374497147377E-02 a       229     0    10     1    13
 -2.9562168573128860E-02 a       230     0    10     1    14
  7.8617195169523746E-01 a       231     0    10     1    15
  6.3232499744889953E-02 a       232     0    10     1    16
  3.1979656291610192E-01 a       233     0    10     1    17
 -6.2797635694875542E-01 a       234     0    10     1    18
  1.0654981276989499E-01 a       235     0    10     1    19
 -3.8186021050248625E-01 a       236     0    10     1    20
 -1.8128621052081076E-01 a       237     0    10     1    21
 -9.8072882066469608E-02 a       238     0    10     1    22
 -2.5947413613031162E-01 a       239     0    10     1    23
 -5.1822431455206019E-01 a       240     0    10     1    24
  1.0134987912125992E+00 a       241     0    11     1     1
 -3.4743013557035733E-02 a       242     0    11     1     2
 -1.5038139353125388E-01 a       243     0    11     1     3
  2.4658977468391433E-01 a       244     0    11     1     4
  9.5713599646064851E-02 a       245     0    11     1     5
 -8.9671006325638083E-02 a       246     0    11     1     6
  1.5963850681125422E-01 a       247     0    11     1     7
  1.2960542094823016E-01 a       248     0    11     1     8
 -1.9058220844500981E-01 a       249     0    11     1     9
  1.3768158303294567E-01 a       250     0    11     1    10
  4.2201614136508769E-01 a       251     0    11     1    11
  2.4987182066197181E-01 a       252     0    11     1    12
 -2.3946773336399993E-01 a       253     0    11     1    13
 -6.2691105007435777E-01 a       254     0    11     1    14
 -4.7719328222966102E-02 a       255     0    11     1    15
 -3.7060233041709201E-01 a       256     0    11     1    16
  8.3019523523280153E-02 a       257     0    11     1    17
 -4.1235471647054023E-01 a       258     0    11     1    18
 -9.5123936902821088E-02 a       259     0    11     1    19
 -5.4492098335620742E-01 a       260     0    11     1    20
  1.5669066183862893E-01 a       261     0    11     1    21
  1.8503120768379205E-01 a       262     0    11     1    22
  2.1325596512100922E-01 a       263     0    11     1    23
  5.4111267787834857E-02 a       264     0    11     1    24
 -3.2729469415741064E-02 a       265     0    12     1     1
 -1.5257833991987921E-01 a       266     0    12     1     2
  9.6869822467245764E-02 a       267     0    12     1     3
 -3.3718599260278523E-02 a       268     0    12     1     4
  3.8546321207362921E-01 a       269     0    12     1     5
 -5.4911084729603578E-02 a       270     0    12     1     6
  2.5526638551085523E-01 a       271     0    12     1     7
 -1.3325724387105506E-01 a       272     0    12     1     8
  2.2122227784283238E-01 a       273     0    12     1     9
  2.3183067720645428E-01 a       274     0    12     1    10
  7.2852030265347811E-02 a       275     0    12     1    11
  8.8980760554443795E-03 a       276     0    12     1    12
 -1.3301690667790611E-01 a       277     0    12     1    13
 -2.0016402069359875E-02 a       278     0    12     1    14
 -6.5112377718151745E-02 a       279     0    12     1    15
  1.5049311419439473E-01 a       280     0    12     1    16
 -3.7205606247669325E-02 a       281     0    12     1    17
  5.0946553888611641E-02 a       282     0    12     1    18
 -1.0426461208742926E-01 a       283     0    12     1    19
  2.6239780934879352E-02 a       284     0    12     1    20
 -6.6355855132231561E-03 a       285     0    12     1    21
  2.5451762468368274E-02 a       286     0    12     1    22
  7.9955634039581558E-02 a       287     0    12     1    23
  1.3257659279457973E-01 a       288     0    12     1    24
