################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         28   5.4173756748646296E-01   2.6963481280499666E+00   2.0410668910579459E+00   2.3283679021681533E-01
         1         29   1.0796915082740542E-05   9.8177029924358700E-02   2.4966280981210866E-03   4.7304844818153039E-03
         1         30   2.5826758617749396E-01   2.7139368041733269E+00   1.7610694310925112E+00   2.3453372639325795E-01
         1         31   4.5669598472657763E-01   2.8229393376294261E+00   2.0111543697588368E+00   2.2085471072046936E-01
         1         32   3.3297116547399512E-13   1.1389797520279576E-02   3.1712136760974263E-04   3.7392310473761102E-04
         1         33   2.8712806571579575E-04   2.4849058076193625E-02   2.5991176240811090E-03   1.4830296846434874E-03
         1         34   2.9691866199326058E-04   1.1156612057233797E-02   1.5049959649376184E-03   4.9811163296157516E-04
         1         35   1.1935297572628762E-13   5.6817095290641545E-03   1.0014550419788106E-04   1.4489350763921031E-04
         1         36   6.7461238745027867E-05   1.5004362659952381E-02   1.1731013346565661E-03   9.2409974833344898E-04
         1         37   3.2497689432702873E-05   7.1445187755364240E-03   2.8856119694421290E-04   2.2157740002033439E-04
         1         38   3.7967673831055111E-13   1.3943511497336017E-02   6.9309274054943967E-04   6.7032741100228198E-04
         1         39   1.2850488440077155E-03   3.4238216650213066E-02   7.1695722533639955E-03   2.4733391563083813E-03
         1         40   3.2971678869329743E-03   2.0781950619647490E-02   1.1010036854437659E-02   1.8716049726991159E-03
         1         41   1.5335096090091153E-14   2.2076288447558396E-03   1.6728592551993190E-05   3.8932545312256701E-05
         1         42   5.7836498132161833E-06   8.9836771929983402E-03   4.9466662063110906E-04   5.8353166127039552E-04
         1         43   7.2916325849321644E-07   5.4618681627273289E-03   7.9013956941911153E-05   1.3812693152910204E-04
         1         44   1.5518437050445972E-13   8.7500307634674306E-03   4.2513226598250853E-04   4.1384345864292247E-04
         1         45   9.7881150250946438E-04   2.4497100639862886E-02   5.5028901483274769E-03   1.8614000901806705E-03
         1         46   2.7808304419284732E-03   1.6786611083150341E-02   9.0416896349883365E-03   1.4568529431368002E-03
         1         47   3.6095183826412346E-14   6.7043835536317771E-03   1.2806251385343132E-04   1.8749911534909002E-04
         1         48   1.3946818227499944E-04   7.4781732673718463E-03   8.8431215284701309E-04   2.9624171876235810E-04
         1         49   6.4571800964436168E-04   2.6052339663272618E-02   4.2857111068687103E-03   1.7714501829142711E-03
         1         50   2.5853484615739910E-05   9.6789679700331772E-03   5.7636183255439441E-04   5.3102310230724323E-04
         1         51   1.7405820200309573E-05   4.1718582940503419E-03   1.4326759914922365E-04   1.0926635451608871E-04
         1         52   4.1158223548946654E-14   8.5356636339470951E-03   2.8006202028316136E-04   3.4161076916820960E-04
         1         53   1.7713017595327334E-03   1.3816942891522747E-02   6.8321218421112870E-03   1.3087216498299497E-03
         1         54   1.6623755140466283E-15   1.2253612750136125E-03   6.5255588782278281E-06   1.8780481496456990E-05
         1         55   2.1085761253881610E-06   6.0612682075372737E-03   2.4428472733132114E-04   3.3858938094598513E-04
         1         56   2.6422701261391941E-07   3.2770757393116561E-03   3.0925820225454857E-05   6.5797166901853293E-05
         1         57   1.6822502850571975E-14   5.3613456411534480E-03   1.7133537008852487E-04   2.1106115621500812E-04
         1         58   4.1816617198803943E-16   2.4532601034299171E-03   2.3521860748585215E-05   5.3478787774636348E-05
         1         59   1.6635946367849465E-05   6.9862281533696084E-03   3.3782004423661162E-04   2.9686199226406089E-04
         1         60   3.5490172768252735E-05   3.7590203597370900E-03   3.3814548530033148E-04   1.2820809169202351E-04
         1         61   1.4989098801932437E-16   1.1533322028320283E-03   7.2895493260674812E-06   2.0060452000431998E-05
         1         62   3.7508594022750831E-06   4.4123958798727454E-03   1.5183015556336947E-04   1.8935611054502751E-04
         1         63   2.8118867939635016E-06   1.5419994601976929E-03   4.3703477724434804E-05   3.3350590597903283E-05
         1         64   8.6141486832194499E-05   8.7259833985815216E-03   9.5363032659327089E-04   5.1175543076336283E-04
         1         65   5.3567660469804794E-04   6.4624816996067258E-03   2.7528409528665876E-03   6.7030396896581765E-04
         1         66   1.9258780020587071E-17   3.9025695878021317E-04   1.1300967605678938E-06   4.9552461902935516E-06
         1         67   2.4792943024219512E-07   2.8069947132515049E-03   6.4715200892928533E-05   1.2185124377763337E-04
         1         68   5.6072213735481645E-08   1.2256418662643408E-03   5.2903049570992952E-06   1.7108711336441962E-05
         1         69   1.9489031151945688E-16   2.1003561012741491E-03   3.1372031762943279E-05   6.1835026148870131E-05
         1         70   6.9406853926323497E-05   7.1850397311083742E-03   7.3430973012492834E-04   3.9103395066747524E-04
         1         71   4.4630981722767099E-04   5.1921243716849409E-03   2.2586615365420147E-03   5.2590603840894305E-04
         1         72   5.6929032065809907E-20   3.8255776564145698E-04   1.2188261446857444E-06   6.3459339283340121E-06
         1         73   4.1392733475848022E-07   1.8184086600447334E-03   2.9904970012498856E-05   4.7057392298674652E-05
         1         74   2.9354239898656609E-06   1.1221045974577823E-03   5.8925987368483871E-05   3.0637850309878029E-05
         1         75   5.5962191804356913E-05   1.9449542254957625E-03   5.3671539853311710E-04   1.9579518215848314E-04
         1         76   2.0406119468631039E-20   1.5997141491601774E-04   3.7194414674477319E-07   2.2845349990405372E-06
         1         77   9.5061715982862270E-08   1.1694509620285198E-03   1.3664868651685565E-05   3.0624120859335327E-05
         1         78   1.5512528837877529E-07   4.7185801694227860E-04   6.5850130568459144E-06   6.1642591964253395E-06
         1         79   6.4914417376514755E-20   5.7037257224992787E-04   2.6717958684758223E-06   1.2323650081983730E-05
         1         80   2.2691626577746423E-06   2.3301959527605482E-03   8.1454732498109270E-05   7.9997868152682406E-05
         1         81   2.6218852188066037E-21   4.4594223149800471E-05   5.3876330957394000E-08   4.9059831559716653E-07
         1         82   5.8159102519541142E-09   7.4809460133212899E-04   5.9218271848974637E-06   1.9568759678816872E-05
         1         83   2.6860340180570807E-09   1.8557093388089736E-04   2.6916053107946183E-07   1.8514844291305614E-06
         1         84   2.6532315469373226E-20   3.5799089698656758E-04   1.6192537202018096E-06   7.5919363030548058E-06
         1         85   1.8534291047160201E-06   1.9882555823918777E-03   6.2463730054303023E-05   6.1824922228941254E-05
         1         86   4.4638529058111911E-05   1.3092005002095124E-03   3.9586899353096460E-04   1.3547560148246288E-04
         1         87   1.0551242511294571E-27   1.1970655166084354E-05   1.1157768998654207E-08   1.6967780455649294E-07
         1         88   2.5705011100577690E-10   1.8275967542961656E-04   4.3542325578366977E-07   2.2591793598463198E-06
         1         89   2.4019750088548800E-08   1.1844861458224552E-04   2.1334682976096512E-06   1.9822670145893622E-06
         1         90   1.8818888726889358E-27   2.6075255479987514E-05   3.2389310131339691E-08   4.5099738150084235E-07
         1         91   4.5704180482180375E-07   1.6209614375050824E-04   1.8492022415816604E-05   1.1599294876476242E-05
         1         92   3.7820758129011839E-28   4.2290492063431225E-06   3.3114172630706259E-09   5.8137838572219893E-08
         1         93   5.4877961661463980E-11   1.1802144274574178E-04   2.1535701343103776E-07   1.5084749590397950E-06
         1         94   1.1861020338334269E-09   5.1232602653253832E-05   2.4193955544120801E-07   4.5094519456292204E-07
         1         95   1.2031256028158457E-27   1.9579238091634936E-05   2.4542958395756140E-08   3.4314637977260400E-07
         1         96   1.8290927479396773E-09   2.4277049332245448E-04   1.0136694577963046E-06   3.6266740341802532E-06
         1         97   4.8594092990071175E-29   9.2442929510790645E-07   4.2846212951967882E-10   1.0214246648601467E-08
         1         98   5.2794637112751203E-12   6.3062537768490329E-05   9.9119718097241129E-08   8.9882383421998286E-07
         1         99   3.1763444551920814E-12   9.7550237227119109E-06   5.0407196526166802E-09   7.2131491594842195E-08
         1        100   4.9175066700573562E-28   1.2223927583685178E-05   1.4724259902566393E-08   2.1100712691421278E-07
         1        101   1.5228869231455595E-09   2.0992002958122901E-04   7.6877473150494988E-07   2.8765116026097446E-06
         1        102   3.6230416808423545E-07   1.0441496135914274E-04   1.3424476108887721E-05   7.8387823180962855E-06
         1        103   1.1292239397278350E-04   1.2522049336433094E-01   2.2879129885801187E-02   8.4709842787783624E-03
         1        104   8.9575277569801832E-03   2.5640276178215660E-01   7.8740474285739895E-02   1.8837278654891883E-02
         1        105   9.4136133442217773E-03   1.2981987788017124E-01   3.7674782458372996E-02   1.0806915170584769E-02
         1        106   3.6866217496654844E-05   6.5804978806198955E-02   9.2484944038552300E-03   4.1931434557069035E-03
         1        107   2.8951974862378113E-03   1.3905641920708531E-01   3.6894237382630542E-02   1.0956414971828534E-02
