################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0906650909295014E-01 a       117     0     5     1    21
  6.3589238589536832E-03 a       118     0     5     1    22
  3.9258776102684752E-02 a       119     0     5     1    23
 -1.6061484636601212E-01 a       120     0     5     1    24
 -6.2708818453970819E-02 a       121     0     6     1     1
  6.7597393557965596E-03 a       122     0     6     1     2
  6.6345603332394296E-02 a       123     0     6     1     3
  1.9884630850217236E-01 a       124     0     6     1     4
  1.4252853483749833E-01 a       125     0     6     1     5
  2.1712054162629554E-01 a       126     0     6     1     6
 -5.9150282914975594E-02 a       127     0     6     1     7
 -5.6781740181138511E-02 a       128     0     6     1     8
 -1.0163833946499398E-01 a       129     0     6     1     9
 -9.9581981295250185E-02 a       130     0     6     1    10
  1.2920570226657593E-01 a       131     0     6     1    11
  2.3045417077752756E-01 a       132     0     6     1    12
  1.8748143319666105E-01 a       133     0     6     1    13
  7.7362441369052029E-02 a       134     0     6     1    14
 -1.6780204068826268E-01 a       135     0     6     1    15
 -1.3931534829857237E-01 a       136     0     6     1    16
  1.8604779191711734E-01 a       137     0     6     1    17
  3.3461791771892990E-01 a       138     0     6     1    18
 -1.2900141242606569E-01 a       139     0     6     1    19
 -7.3449904495356419E-02 a       140     0     6     1    20
  5.4228994974053861E-02 a       141     0     6     1    21
 -2.1078037810781036E-01 a       142     0     6     1    22
 -5.6055469217843141E-03 a       143     0     6     1    23
 -2.2744792199537978E-01 a       144     0     6     1    24
  1.6598619423951419E-01 a       145     0     7     1     1
 -2.1422310751509016E-01 a       146     0     7     1     2
  1.4820200505724401E-01 a       147     0     7     1     3
  6.4530531926077800E-02 a       148     0     7     1     4
 -1.2235696453080053E-01 a       149     0     7     1     5
  1.2780470767983254E-01 a       150     0     7     1     6
  1.8155785549601344E-01 a       151     0     7     1     7
  1.6582866092757798E-01 a       152     0     7     1     8
 -5.0896084263914393E-04 a       153     0     7     1     9
 -1.1450123893824225E-03 a       154     0     7     1    10
 -6.4515959700460229E-02 a       155     0     7     1    11
  4.5435918828122854E-02 a       156     0     7     1    12
 -1.1997333105001869E-01 a       157     0     7     1    13
 -6.6459527430928131E-02 a       158     0     7     1    14
 -1.4265742077051366E-01 a       159     0     7     1    15
 -9.4475094379603608E-02 a       160     0     7     1    16
  8.0604491202528800E-02 a       161     0     7     1    17
  1.0984265155603139E-01 a       162     0     7     1    18
  1.2696049720602262E-01 a       163     0     7     1    19
  1.8000321688507995E-01 a       164     0     7     1    20
 -1.5240879330755708E-01 a       165     0     7     1    21
  2.2208849597538938E-02 a       166     0     7     1    22
  1.1644869822985933E-01 a       167     0     7     1    23
 -1.7615127021758936E-01 a       168     0     7     1    24
  1.5688679778803630E-01 a       169     0     8     1     1
  1.7126161506970539E-01 a       170     0     8     1     2
  3.2434469624013856E-01 a       171     0     8     1     3
 -7.1837942803424440E-02 a       172     0     8     1     4
 -1.5049462166941649E-01 a       173     0     8     1     5
  3.3843687202901102E-01 a       174     0     8     1     6
  1.3164826365039861E-01 a       175     0     8     1     7
  2.4080311724966375E-01 a       176     0     8     1     8
 -1.4561866721176883E-01 a       177     0     8     1     9
