################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.2259326130818400E-02 a         1     0     1     1     1
  2.0300237186631101E-01 a         2     0     1     1     2
 -1.1590349920101762E-02 a         3     0     1     1     3
 -9.4012401668619433E-02 a         4     0     1     1     4
 -7.8703112798655522E-02 a         5     0     1     1     5
 -6.2816226760650795E-02 a         6     0     1     1     6
 -1.1081174113376585E-01 a         7     0     1     1     7
 -8.8806564708385050E-02 a         8     0     1     1     8
  8.7491961188456993E-02 a         9     0     1     1     9
 -1.9432265750070107E-02 a        10     0     1     1    10
  6.5932487597902212E-02 a        11     0     1     1    11
  7.1587777118636176E-02 a        12     0     1     1    12
  4.5698808901179375E-02 a        13     0     1     1    13
 -1.0014028814788080E-02 a        14     0     1     1    14
 -1.4884586253854977E-02 a        15     0     1     1    15
 -2.1797802995767665E-01 a        16     0     1     1    16
  2.4365796335714246E-01 a        17     0     1     1    17
  3.2669919909117918E-02 a        18     0     1     1    18
 -1.5431631601346990E-01 a        19     0     1     1    19
 -3.4389403479248827E-02 a        20     0     1     1    20
  2.9111162553113541E-02 a        21     0     1     1    21
  9.0234122441094772E-02 a        22     0     1     1    22
 -7.5855422259121938E-02 a        23     0     1     1    23
 -1.0859625025897278E-01 a        24     0     1     1    24
 -1.3274049781107189E-01 a        25     0     2     1     1
 -2.1760341372175484E-02 a        26     0     2     1     2
  2.5588095548362239E-01 a        27     0     2     1     3
 -2.7500185819254941E-01 a        28     0     2     1     4
 -4.2312657635329258E-02 a        29     0     2     1     5
  1.7197617000090212E-01 a        30     0     2     1     6
 -7.5161497219851658E-02 a        31     0     2     1     7
 -3.3303658057849211E-02 a        32     0     2     1     8
  2.3808264813073335E-01 a        33     0     2     1     9
 -5.3251162977345230E-02 a        34     0     2     1    10
  2.2253530240623495E-01 a        35     0     2     1    11
